timestamp,cycle_id,sensor_id,distance_cm,num_samples,num_valid,spread_cm,error
2026-03-11T22:33:00Z,1,default,4.9,31,31,0.04,
2026-03-11T22:45:03Z,2,default,4.9,31,31,0.01,
